"Sample Collection Date","Site Name","County","PCR Pathogen Target","PCR Gene Target","Normalized Pathogen Concentration (gene copies/person/day)","Date/Time Updated"
2023-09-18 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-09-20 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-09-22 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-09-25 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-09-27 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-09-29 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-10-02 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-10-04 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",542766912.726912,2024-04-10 09:07:19
2023-10-06 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-10-09 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-10-11 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
